timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1644843874, ,3.5,3.5999999046,3.5,5.5999999046,4,6.1999998093,3.4000000954,0,3.4000000954,5.8000001907,3.2999999523,3.4000000954,3.2999999523
1644843875, ,3.5,3.5999999046,3.5,5.5999999046,4,6.1999998093,3.4000000954,0,3.4000000954,5.8000001907,3.2999999523,3.4000000954,3.2999999523
1644843876, ,3.5,3.5999999046,3.5,5.5999999046,4,6.1999998093,3.4000000954,0,3.2999999523,7.4000000954,3.5,3.2000000477,3.5
1644843877, ,3.4000000954,3.5999999046,3.5,5.5999999046,4,6.1999998093,3.4000000954,0,3.2999999523,7.4000000954,3.5,3.2000000477,3.5
1644843878, ,3.4000000954,3.2000000477,3.5999999046,5.5999999046,3.2999999523,6.0999999046,3.5999999046,0,3.2999999523,7.4000000954,3.5,3.2000000477,3.5
1644843879, ,3.2999999523,3.2000000477,3.5999999046,5.5999999046,3.2999999523,6.0999999046,3.5999999046,0,3.2999999523,5.9000000954,3.2999999523,2.9000000954,3.2000000477
1644843880, ,3.2999999523,3.2000000477,3.5999999046,5.5999999046,3.2999999523,6.0999999046,3.5999999046,0,3.2999999523,5.9000000954,3.2999999523,2.9000000954,3.2000000477
1644843881, ,3.2999999523,3.4000000954,3.5,7.0999999046,3.4000000954,5,3.2999999523,0,3.2999999523,5.9000000954,3.2999999523,2.9000000954,3.2000000477
1644843882, ,3.4000000954,3.4000000954,3.5,7.0999999046,3.4000000954,5,3.2999999523,0,3.4000000954,5.9000000954,3.4000000954,3,3.4000000954
1644843883, ,3.4000000954,3.5,3.2999999523,5.5,3.2999999523,5,3.5,0,3.4000000954,5.9000000954,3.4000000954,3,3.4000000954
1644843884, ,3.4000000954,3.5,3.2999999523,5.5,3.2999999523,5,3.5,0,3.4000000954,5.9000000954,3.4000000954,3,3.4000000954
1644843885, ,3.4000000954,3.5,3.2999999523,5.5,3.2999999523,5,3.5,0,3.4000000954,5.9000000954,3.4000000954,3,3.4000000954
1644843886, ,3.4000000954,3.4000000954,3.5,5.6999998093,3.2999999523,5.8000001907,3.5999999046,0,3.2999999523,5.8000001907,3.5999999046,2.9000000954,3.2999999523
1644843887, ,3.4000000954,3.4000000954,3.5,5.6999998093,3.2999999523,5.8000001907,3.5999999046,0,3.2999999523,5.8000001907,3.5999999046,2.9000000954,3.2999999523
1644843888, ,3.4000000954,3.4000000954,3.5,5.6999998093,3.2999999523,5.8000001907,3.5999999046,0,3.2999999523,5.8000001907,3.2999999523,2.9000000954,3.5
1644843889, ,3.2999999523,3.4000000954,3.5,5.6999998093,3.2999999523,5.8000001907,3.5999999046,0,3.2999999523,5.8000001907,3.2999999523,2.9000000954,3.5
1644843890, ,3.2999999523,3.5,3.4000000954,5.5999999046,3.2999999523,6.0999999046,3.2999999523,0,3.2999999523,5.8000001907,3.2999999523,2.9000000954,3.5
1644843891, ,3.2999999523,3.5,3.4000000954,5.5999999046,3.2999999523,6.0999999046,3.2999999523,0,3.2999999523,5.8000001907,3.2999999523,2.9000000954,3.5
1644843892, ,3.2999999523,3.5,3.4000000954,5.5999999046,3.2999999523,6.0999999046,3.2999999523,0,3.5,5.9000000954,3.4000000954,3,3.2999999523
1644843893, ,3.2999999523,3.5999999046,3.2999999523,5.5,3.4000000954,5,3.4000000954,0,3.5,5.9000000954,3.4000000954,3,3.2999999523
1644843894, ,3.2999999523,3.5999999046,3.2999999523,5.5,3.4000000954,5,3.4000000954,0,3.5,5.9000000954,3.4000000954,3,3.2999999523
1644843895, ,3.5,3.5,3.2999999523,5.5,3.4000000954,5,3.4000000954,0,3.2999999523,5.8000001907,3.5,3.5,3.5
1644843896, ,3.5,3.5,3.2999999523,5.3000001907,3.4000000954,6.0999999046,3.5999999046,0,3.2999999523,5.8000001907,3.5,3.5,3.5
1644843897, ,3.5,3.5,3.2999999523,5.3000001907,3.4000000954,6.0999999046,3.5999999046,0,3.2999999523,5.8000001907,3.5,3.5,3.5
1644843898, ,3.2999999523,3.5,3.2999999523,5.3000001907,3.4000000954,6.0999999046,3.5999999046,0,3.2999999523,5.8000001907,3.5,3.2000000477,3.5
1644843899, ,3.2999999523,3.5,3.2999999523,5.5,3.2999999523,5.6999998093,3.4000000954,0,3.2999999523,5.8000001907,3.5,3.2000000477,3.5
1644843900, ,3.4000000954,3.5999999046,3.2999999523,5.5,3.2999999523,5.6999998093,3.4000000954,0,3.5,5.8000001907,3.4000000954,3.2999999523,3.4000000954
1644843901, ,3.4000000954,3.5999999046,3.2999999523,5.5,3.2999999523,5.6999998093,3.4000000954,0,3.5,5.8000001907,3.4000000954,3.2999999523,3.4000000954
1644843902, ,3.4000000954,3.5999999046,3.0999999046,5.9000000954,3.5,5.9000000954,3.4000000954,0,3.4000000954,5.8000001907,3.4000000954,3.2999999523,3.4000000954
1644843903, ,3.4000000954,3.5999999046,3.0999999046,5.9000000954,3.5,5.9000000954,3.4000000954,0,3.4000000954,5.8000001907,3.4000000954,3.2999999523,3.4000000954
1644843904, ,3.4000000954,3.4000000954,3.0999999046,5.9000000954,3.5,5.9000000954,3.4000000954,0,3.4000000954,5.5,3.7000000477,3,3.5
1644843905, ,3.4000000954,3.4000000954,3.0999999046,5.5,3.5,5,3.5,0,3.4000000954,5.5,3.7000000477,3,3.5
1644843906, ,3.4000000954,3.4000000954,3.0999999046,5.5,3.5,5,3.5,0,3.2999999523,5.6999998093,3.5999999046,2.9000000954,3.2999999523
1644843907, ,3.2999999523,3.4000000954,3.0999999046,5.5,3.5,5,3.5,0,3.2999999523,5.6999998093,3.5999999046,2.9000000954,3.2999999523
1644843908, ,3.2999999523,3.4000000954,3.2000000477,5.3000001907,3.2999999523,5,3.2999999523,0,3.5,5.6999998093,3.5999999046,2.9000000954,3.2999999523
1644843909, ,3.2999999523,3.4000000954,3.2000000477,5.3000001907,3.2999999523,5,3.2999999523,0,3.5,6.9000000954,3.2999999523,3,3.4000000954
1644843910, ,3.2999999523,3.4000000954,3.2000000477,5.3000001907,3.2999999523,5,3.2999999523,0,3.5,6.9000000954,3.2999999523,3,3.4000000954
1644843911, ,3.2999999523,3.4000000954,3.2000000477,5.5999999046,3.5,5.4000000954,3.4000000954,0,3.5,6.9000000954,3.2999999523,3,3.4000000954
1644843912, ,3.2999999523,3.4000000954,3.2000000477,5.5999999046,3.5,5.4000000954,3.4000000954,0,3.2999999523,5.9000000954,3.5,3,3.5999999046
1644843913, ,3.4000000954,3.4000000954,3.2000000477,5.5999999046,3.5,5.4000000954,3.4000000954,0,3.2999999523,5.9000000954,3.5,3,3.5999999046
1644843914, ,3.4000000954,3.4000000954,3,5.5,3.2999999523,5,3.7000000477,0,3.2999999523,5.9000000954,3.5,3,3.5999999046
1644843915, ,3.4000000954,3.4000000954,3,5.5,3.2999999523,5,3.7000000477,0,3.2999999523,5.9000000954,3.5,3,3.5999999046
1644843916, ,3.2000000477,3.5,3.2000000477,5.5999999046,3.2999999523,6.0999999046,3.4000000954,0,3.2999999523,5.9000000954,3.5,2.9000000954,3.4000000954
1644843917, ,3.2000000477,3.5,3.2000000477,5.5999999046,3.2999999523,6.0999999046,3.4000000954,0,3.5,5.8000001907,3.5,2.9000000954,3.4000000954
1644843918, ,3.2000000477,3.5,3.2000000477,5.5999999046,3.2999999523,6.0999999046,3.4000000954,0,3.5,5.8000001907,3.5,2.9000000954,3.4000000954
1644843919, ,3.2999999523,3.5,3.2000000477,5.5999999046,3.2999999523,6.0999999046,3.4000000954,0,3.5,5.8000001907,3.4000000954,3.4000000954,3.2999999523
1644843920, ,3.2999999523,3.5,3.2000000477,6.5,3.2999999523,5,3.2999999523,0,3.5,5.8000001907,3.4000000954,3.4000000954,3.2999999523
