Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107
1646005635,6291,24.4999997615,3.2999999523,3.5,3.5,3.5999999046,3.5999999046,3.5999999046,3.4000000954
1646005636,6292,24.3999996184,3.2999999523,3.5,3.5,3.5999999046,3.5999999046,3.5999999046,3.2999999523
1646005637,6293,23.7000002862,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523
1646005638,6294,24.1000003816,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3.5999999046
1646005639,6295,24.8999998569,3.4000000954,3.5999999046,3.7000000477,3.7999999523,3.2999999523,3.5,3.5999999046
1646005640,6296,24.8999998569,3.4000000954,3.5999999046,3.7000000477,3.7999999523,3.2999999523,3.5,3.5999999046
1646005641,6297,24.7000000477,3.4000000954,3.5999999046,3.7000000477,3.7999999523,3.2999999523,3.5,3.4000000954
1646005642,6298,24.6000001431,3.4000000954,3.5,3.7000000477,3.7999999523,3.2999999523,3.5,3.4000000954
1646005643,6299,24.000000477,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5,3.4000000954
1646005644,6300,24.0000002385,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523
1646005645,6301,24.0000002385,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523
1646005646,6302,24.3000001908,3.4000000954,3.5999999046,3.4000000954,3.5,3.5,3.5,3.4000000954
1646005647,6303,24.3000001908,3.4000000954,3.5999999046,3.4000000954,3.5,3.5,3.5,3.4000000954
1646005648,6304,23.5000002385,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954
1646005649,6305,23.5000002385,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954
1646005650,6306,23.5000002385,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954
1646005651,6307,24.2000000477,3.5,3.5999999046,3.5,3.2999999523,3.4000000954,3.5,3.4000000954
1646005652,6308,24,3.5,3.5999999046,3.5,3.2999999523,3.4000000954,3.2999999523,3.4000000954
1646005653,6309,24.0999999046,3.5,3.5999999046,3.5,3.2999999523,3.4000000954,3.2999999523,3.5
1646005654,6310,24.2999999523,3.2999999523,3.5999999046,3.4000000954,3.5,3.5,3.5,3.5
1646005655,6311,24.2000000477,3.2999999523,3.5999999046,3.4000000954,3.5,3.5,3.5,3.4000000954
1646005656,6312,24,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.4000000954
1646005657,6313,24,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.4000000954
1646005658,6314,24.5999999046,4,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.2999999523
1646005659,6315,24.1999998092,4,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.2999999523
1646005660,6316,24.1999998092,4,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.2999999523
1646005661,6317,23.7000000477,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954
