Timestamp,Time,Total_energy,192.168.5.101
1645786777,13963,4.3000001907,4.3000001907
1645786778,13964,4.3000001907,4.3000001907
1645786779,13965,4.3000001907,4.3000001907
1645786780,13966,4.3000001907,4.3000001907
1645786781,13967,4.3000001907,4.3000001907
1645786782,13968,4.3000001907,4.3000001907
1645786783,13969,4.3000001907,4.3000001907
1645786784,13970,4.3000001907,4.3000001907
1645786785,13971,4.3000001907,4.3000001907
1645786786,13972,4.3000001907,4.3000001907
1645786787,13973,4.4000000954,4.4000000954
1645786788,13974,4.4000000954,4.4000000954
1645786789,13975,4.1999998093,4.1999998093
1645786790,13976,4.1999998093,4.1999998093
1645786791,13977,4.1999998093,4.1999998093
1645786792,13978,4.1999998093,4.1999998093
1645786793,13979,4.3000001907,4.3000001907
1645786794,13980,4.1999998093,4.1999998093
1645786795,13981,4.1999998093,4.1999998093
1645786796,13982,4.1999998093,4.1999998093
1645786797,13983,4.1999998093,4.1999998093
1645786798,13984,4.6999998093,4.6999998093
1645786799,13985,4.6999998093,4.6999998093
1645786800,13986,4.6999998093,4.6999998093
1645786801,13987,4.1999998093,4.1999998093
1645786802,13988,4.1999998093,4.1999998093
1645786803,13989,4.1999998093,4.1999998093
1645786804,13990,4.0999999046,4.0999999046
1645786805,13991,4.0999999046,4.0999999046
1645786806,13992,4.4000000954,4.4000000954
1645786807,13993,4.4000000954,4.4000000954
1645786808,13994,4.4000000954,4.4000000954
1645786809,13995,4.4000000954,4.4000000954
1645786810,13996,4.3000001907,4.3000001907
1645786811,13997,4.3000001907,4.3000001907
1645786812,13998,4.3000001907,4.3000001907
1645786813,13999,5.5,5.5
1645786814,14000,5.6999998093,5.6999998093
1645786815,14001,5.6999998093,5.6999998093
1645786816,14002,5.6999998093,5.6999998093
1645786817,14003,5.6999998093,5.6999998093
1645786818,14004,4.3000001907,4.3000001907
1645786819,14005,4.3000001907,4.3000001907
1645786820,14006,4.3000001907,4.3000001907
1645786821,14007,4.4000000954,4.4000000954
1645786822,14008,4.4000000954,4.4000000954
1645786823,14009,4.4000000954,4.4000000954
1645786824,14010,4.4000000954,4.4000000954
1645786825,14011,4.4000000954,4.4000000954
1645786826,14012,4.4000000954,4.4000000954
1645786827,14013,4.4000000954,4.4000000954
1645786828,14014,4.4000000954,4.4000000954
1645786829,14015,4.3000001907,4.3000001907
1645786830,14016,4.3000001907,4.3000001907
1645786831,14017,4.3000001907,4.3000001907
1645786832,14018,4.3000001907,4.3000001907
1645786833,14019,4.4000000954,4.4000000954
1645786834,14020,4.4000000954,4.4000000954
1645786835,14021,4.4000000954,4.4000000954
1645786836,14022,4.3000001907,4.3000001907
1645786837,14023,3.7999999523,3.7999999523
1645786838,14024,3.7999999523,3.7999999523
1645786839,14025,3.7999999523,3.7999999523
1645786840,14026,3.7999999523,3.7999999523
1645786841,14027,4.3000001907,4.3000001907
1645786842,14028,4.3000001907,4.3000001907
1645786843,14029,4.3000001907,4.3000001907
1645786844,14030,4.4000000954,4.4000000954
1645786845,14031,4.4000000954,4.4000000954
1645786846,14032,4.3000001907,4.3000001907
1645786847,14033,4.3000001907,4.3000001907
1645786848,14034,4.3000001907,4.3000001907
1645786849,14035,4.3000001907,4.3000001907
1645786850,14036,4.0999999046,4.0999999046
1645786851,14037,4.0999999046,4.0999999046
1645786852,14038,4.0999999046,4.0999999046
1645786853,14039,4.3000001907,4.3000001907
1645786854,14040,4.3000001907,4.3000001907
1645786855,14041,4.3000001907,4.3000001907
1645786856,14042,4.4000000954,4.4000000954
1645786857,14043,4.4000000954,4.4000000954
1645786858,14044,4.3000001907,4.3000001907
1645786859,14045,4.3000001907,4.3000001907
1645786860,14046,4.3000001907,4.3000001907
1645786861,14047,4.5,4.5
1645786862,14048,4.5,4.5
1645786863,14049,4.5,4.5
1645786864,14050,4.3000001907,4.3000001907
1645786865,14051,4.3000001907,4.3000001907
1645786866,14052,4.3000001907,4.3000001907
