Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105
1645961235,6838,17.3000001908,3.4000000954,3.7000000477,3.4000000954,3.5,3.2999999523
1645961236,6839,17.2999999523,3.4000000954,3.5999999046,3.2000000477,3.5999999046,3.5
1645961237,6840,17.2999999523,3.4000000954,3.5999999046,3.2000000477,3.5999999046,3.5
1645961238,6841,17.2999999523,3.4000000954,3.5999999046,3.2000000477,3.5999999046,3.5
1645961239,6842,17.5000002385,3.4000000954,3.5,3.7000000477,3.4000000954,3.5
1645961240,6843,17.5000002385,3.4000000954,3.5,3.7000000477,3.4000000954,3.5
1645961241,6844,16.7000000477,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645961242,6845,16.7000000477,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645961243,6846,16.7000000477,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645961244,6847,16.7000000477,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645961245,6848,17,3.2999999523,3.5,3.5,3.4000000954,3.2999999523
1645961246,6849,17,3.2999999523,3.5,3.5,3.4000000954,3.2999999523
1645961247,6850,16.8999998569,3.2000000477,3.5,3.2999999523,3.5999999046,3.2999999523
1645961248,6851,16.8999998569,3.2000000477,3.5,3.2999999523,3.5999999046,3.2999999523
1645961249,6852,16.8999998569,3.2000000477,3.5,3.2999999523,3.5999999046,3.2999999523
1645961250,6853,16.7999999523,3.2000000477,3.4000000954,3.2999999523,3.5999999046,3.2999999523
1645961251,6854,16.9000003339,3.2000000477,3.4000000954,3.4000000954,3.5,3.4000000954
1645961252,6855,17.2000002862,3.4000000954,3.5,3.4000000954,3.5,3.4000000954
1645961253,6856,17.1000003816,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954
1645961254,6857,17.1000003816,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954
1645961255,6858,17.1000003816,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954
1645961256,6859,17.2999999523,3.4000000954,3.5,3.2999999523,3.5999999046,3.5
1645961257,6860,17.2999999523,3.4000000954,3.5,3.2999999523,3.5999999046,3.5
1645961258,6861,17.2999999523,3.4000000954,3.5,3.2999999523,3.5999999046,3.5
1645961259,6862,17.0999999046,3.5,3.5999999046,3.2000000477,3.5999999046,3.2000000477
