Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104
1645952786,7123,13.7999999523,3.4000000954,3.2999999523,3.5,3.5999999046
1645952787,7124,13.7999999523,3.2999999523,3.4000000954,3.5999999046,3.5
1645952788,7125,13.7999999523,3.2999999523,3.4000000954,3.5999999046,3.5
1645952789,7126,13.7999999523,3.2999999523,3.4000000954,3.5999999046,3.5
1645952790,7127,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952791,7128,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952792,7129,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952793,7130,13.5999999046,3.2999999523,3.2999999523,3.4000000954,3.5999999046
1645952794,7131,13.5999999046,3.2999999523,3.2999999523,3.4000000954,3.5999999046
1645952795,7132,13.5999999046,3.2999999523,3.2999999523,3.4000000954,3.5999999046
1645952796,7133,14.5999999046,3.5,3.5,4,3.5999999046
1645952797,7134,14.5999999046,3.5,3.5,4,3.5999999046
1645952798,7135,13.8000001908,3.4000000954,3.5,3.5,3.4000000954
1645952799,7136,13.8000001908,3.4000000954,3.5,3.5,3.4000000954
1645952800,7137,13.8000001908,3.4000000954,3.5,3.5,3.4000000954
1645952801,7138,13.7000002862,3.4000000954,3.5,3.4000000954,3.4000000954
1645952802,7139,13.7000002862,3.4000000954,3.5,3.4000000954,3.4000000954
1645952803,7140,13.7000002862,3.4000000954,3.5,3.4000000954,3.4000000954
1645952804,7141,13.8000001908,3.5,3.5,3.4000000954,3.4000000954
1645952805,7142,13.9000000954,3.5,3.4000000954,3.5,3.5
1645952806,7143,13.9000000954,3.5,3.4000000954,3.5,3.5
1645952807,7144,13.8000001908,3.4000000954,3.5999999046,3.4000000954,3.4000000954
1645952808,7145,13.8000001908,3.4000000954,3.5999999046,3.4000000954,3.4000000954
1645952809,7146,13.7000002862,3.4000000954,3.5,3.4000000954,3.4000000954
1645952810,7147,13.7000002862,3.4000000954,3.5,3.4000000954,3.4000000954
1645952811,7148,13.7000002862,3.4000000954,3.5,3.4000000954,3.4000000954
1645952812,7149,13.9000000954,3.5,3.5,3.4000000954,3.5
1645952813,7150,13.9000000954,3.5,3.5,3.4000000954,3.5
1645952814,7151,13.9000000954,3.5,3.5,3.4000000954,3.5
1645952815,7152,13.7000002862,3.4000000954,3.4000000954,3.5,3.4000000954
1645952816,7153,13.7000002862,3.4000000954,3.4000000954,3.5,3.4000000954
1645952817,7154,13.7000002862,3.4000000954,3.4000000954,3.5,3.4000000954
