timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1644466404, ,5.1999998093,3.4000000954,3,3.2000000477,3.5999999046,5.0999999046,3.4000000954,3.5,3.2999999523,3.5,2.9000000954,3.4000000954
1644466405, ,5.1999998093,3.4000000954,3,3.2000000477,3.5999999046,5.0999999046,3.4000000954,3.5,3.2999999523,3.5,2.9000000954,3.4000000954
1644466406, ,4.5,3.5,3.2000000477,3.4000000954,3.4000000954,5.9000000954,3.5,3.4000000954,3.2999999523,3.5,2.9000000954,3.4000000954
1644466407, ,4.5,3.5,3.2000000477,3.4000000954,3.4000000954,5.9000000954,3.5,3.4000000954,3.2999999523,3.5,3.0999999046,3.5
1644466408, ,5.1999998093,3.2000000477,3.2000000477,3.4000000954,3.4000000954,5.9000000954,3.5,3.4000000954,3.2999999523,3.5,3.0999999046,3.5
1644466409, ,5.1999998093,3.2000000477,3.2000000477,3.4000000954,3.4000000954,5.9000000954,3.5,3.4000000954,3.2999999523,3.5,3.0999999046,3.5
1644466410, ,5.1999998093,3.2000000477,3.2999999523,3.2999999523,3.5999999046,5,4,3.4000000954,3.5,3.4000000954,3,3.4000000954
1644466411, ,5.1999998093,3.4000000954,3.2999999523,3.2999999523,3.5999999046,5,4,3.4000000954,3.5,3.4000000954,3,3.4000000954
1644466412, ,5.1999998093,3.4000000954,3.2999999523,3.2999999523,3.5999999046,5,4,3.4000000954,3.5,3.4000000954,3,3.4000000954
1644466413, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.2999999523,6.1999998093,3.4000000954,3.2999999523,3.7000000477,3.4000000954,2.9000000954,3.7999999523
1644466414, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.2999999523,6.1999998093,3.4000000954,3.2999999523,3.7000000477,3.4000000954,2.9000000954,3.7999999523
1644466415, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.2999999523,6.1999998093,3.4000000954,3.2999999523,3.7000000477,3.4000000954,2.9000000954,3.7999999523
1644466416, ,5.1999998093,3.2999999523,3.2000000477,3.5,3.2999999523,5.8000001907,3.5,3.2999999523,3.5999999046,3.2999999523,3,3.7999999523
1644466417, ,5.1999998093,3.2999999523,3.2000000477,3.5,3.2999999523,5.8000001907,3.5,3.2999999523,3.5999999046,3.2999999523,3,3.2999999523
1644466418, ,5.1999998093,3.2999999523,3.2000000477,3.5,3.2999999523,5.8000001907,3.5,3.2999999523,3.5999999046,3.2999999523,3,3.2999999523
1644466419, ,5.0999999046,3.4000000954,3.2000000477,3.2999999523,3.5999999046,5.4000000954,3.5,3.5,3.7000000477,3.5,3.4000000954,3.4000000954
1644466420, ,5.0999999046,3.4000000954,3.2000000477,3.2999999523,3.5999999046,5.4000000954,3.5,3.5,3.7000000477,3.5,3.4000000954,3.4000000954
1644466421, ,5.0999999046,3.4000000954,3.2000000477,3.2999999523,3.5999999046,5.4000000954,3.5,3.5,3.5999999046,3.4000000954,3.4000000954,3.4000000954
1644466422, ,5.1999998093,3.5,3.0999999046,3.4000000954,3.5999999046,6.1999998093,3.4000000954,3.2999999523,3.5999999046,3.4000000954,3.4000000954,3.4000000954
1644466423, ,5.1999998093,3.5,3.0999999046,3.4000000954,3.5999999046,6.1999998093,3.4000000954,3.2999999523,3.5999999046,3.4000000954,3.5,3.4000000954
1644466424, ,5.3000001907,3.2000000477,3.2999999523,3.4000000954,3.4000000954,6.0999999046,3.5,3.2999999523,3.5,3.4000000954,3.5,3.4000000954
1644466425, ,5.3000001907,3.2000000477,3.2999999523,3.4000000954,3.4000000954,6.0999999046,3.5,3.2999999523,3.5,3.4000000954,3.5,3.4000000954
1644466426, ,5.3000001907,3.2000000477,3.2999999523,3.4000000954,3.4000000954,6.0999999046,3.5,3.5,3.5,3.2999999523,3.4000000954,3.2999999523
1644466427, ,5.3000001907,3.2000000477,3.2999999523,3.4000000954,3.4000000954,6.0999999046,3.5,3.5,3.5,3.2999999523,3.4000000954,3.2999999523
1644466428, ,5.3000001907,3.5,3.2999999523,3.2999999523,3.4000000954,4.8000001907,3.5999999046,3.5,3.9000000954,3.4000000954,3.2999999523,3.4000000954
1644466429, ,5.3000001907,3.5,3.2999999523,3.2999999523,3.4000000954,4.8000001907,3.5999999046,3.5,3.9000000954,3.4000000954,3.2999999523,3.4000000954
1644466430, ,5.3000001907,3.5,3.2999999523,3.2999999523,3.4000000954,4.8000001907,3.5999999046,3.5,3.9000000954,3.4000000954,3.2999999523,3.4000000954
1644466431, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.2999999523,4.8000001907,3.5999999046,3.5,3.9000000954,3.4000000954,3.2999999523,3.4000000954
1644466432, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.2999999523,5.8000001907,3.4000000954,3.4000000954,3.5,3.4000000954,3,3.2999999523
1644466433, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.2999999523,5.8000001907,3.4000000954,3.4000000954,3.5,3.4000000954,3,3.2999999523
1644466434, ,5.0999999046,3.4000000954,3.2000000477,3.2999999523,3.2999999523,5.8000001907,3.4000000954,3.4000000954,3.5,3.4000000954,3,3.2999999523
1644466435, ,5.0999999046,3.4000000954,3.2000000477,3.2999999523,3.7999999523,6.1999998093,3.5999999046,3.4000000954,3.5,4.1999998093,3,3.4000000954
1644466436, ,5.0999999046,3.4000000954,3.2000000477,3.2999999523,3.7999999523,6.1999998093,3.5999999046,3.4000000954,3.5,4.1999998093,3,3.4000000954
1644466437, ,5.1999998093,3.5999999046,3.0999999046,3.2999999523,3.7999999523,6.1999998093,3.5,3.2999999523,3.5999999046,3.4000000954,2.9000000954,3.4000000954
1644466438, ,5.1999998093,3.5999999046,3.0999999046,3.2999999523,3.7999999523,6.1999998093,3.5,3.2999999523,3.5999999046,3.4000000954,2.9000000954,3.4000000954
1644466439, ,5.3000001907,3.4000000954,3.2999999523,3.2999999523,3.7999999523,6.1999998093,3.5,3.2999999523,3.5999999046,3.4000000954,2.9000000954,3.4000000954
1644466440, ,5.3000001907,3.4000000954,3.2999999523,3.2999999523,3.2999999523,6.1999998093,3.4000000954,3.4000000954,3.5999999046,3.4000000954,2.9000000954,3.4000000954
