timestamp,p1,p2,p3,p4,p5,p6,p9,p10,p11,p12,p13,p14,Total_Energy
timestamp,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,Total_Energy
1646029514,3.4000000954,3.5,3.2000000477,3.5999999046,3.2999999523,3.5,3.2000000477,3.5,3.5999999046,3.5,3.2000000477,3.2999999523,40.7999999523
1646029515,3.4000000954,3.5,3.2000000477,3.5999999046,3.2999999523,3.5,3.2000000477,3.5,3.5999999046,3.5,3.2000000477,3.2999999523,40.7999999523
1646029516,3.4000000954,3.5,3.2000000477,3.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.5,40.9000000954
1646029517,3.2999999523,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.5,40.7000000477
1646029518,3.2999999523,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.5,3.2000000477,3.7000000477,3.2999999523,3.4000000954,3.5,40.9000000954
1646029519,3.2999999523,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.5,3.2000000477,3.7000000477,3.2999999523,3.4000000954,3.5,40.9000000954
1646029520,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2000000477,3.7000000477,3.2999999523,3.4000000954,3.5,41.1000001431
1646029521,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5,3.2999999523,3.2999999523,3.5,40.8999998569
1646029522,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5,3.2999999523,3.2999999523,3.5,40.8999998569
1646029523,3.4000000954,3.2999999523,3.7000000477,3.5,3.4000000954,3.5,3.2999999523,3.4000000954,3.5,3.2999999523,3.2999999523,3.5,41.1000001431
1646029524,3.4000000954,3.2999999523,3.7000000477,3.5,3.4000000954,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.5,41.2000002862
1646029525,3.2000000477,3.5999999046,3.0999999046,3.5999999046,3.2999999523,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.2000000477,3.5,40.6999998092
1646029526,3.2000000477,3.5999999046,3.0999999046,3.5999999046,3.2999999523,3.5,3.5,3.2999999523,3.5,3.4000000954,3.2000000477,3.5,40.6999998092
1646029527,3.2000000477,3.5999999046,3.0999999046,3.5999999046,3.2999999523,3.5,3.5,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523,40.499999523
1646029528,3.2000000477,3.5999999046,3.2999999523,3.5,3.5,3.2999999523,3.5,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523,40.5999996661
1646029529,3.2000000477,3.5999999046,3.2999999523,3.5,3.5,3.2999999523,3.5,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523,40.5999996661
1646029530,3.2000000477,3.5999999046,3.2999999523,3.5,3.5,3.2999999523,3.5,3.4000000954,3.5999999046,3.2999999523,3.2999999523,3.2999999523,40.7999997138
1646029531,3.5,3.5,3.2999999523,3.5,3.5,3.2999999523,3.5,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.5,41.2999999523
1646029532,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.5,41.3000001908
1646029533,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5999999046,3.5,3.2000000477,3.2999999523,41
1646029534,3.4000000954,3.5,3.5,3.5999999046,3.5,3.5,3.5,3.2999999523,3.5999999046,3.5,3.2000000477,3.2999999523,41.3999998569
1646029535,3.4000000954,3.5,3.5,3.5999999046,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,41.1000001431
1646029536,3.4000000954,3.5,3.5,3.5999999046,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,41.1000001431
1646029537,3.2999999523,3.5999999046,3.2999999523,3.5,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,40.7999999523
1646029538,3.2999999523,3.5999999046,3.2999999523,3.5,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523,40.2999999523
1646029539,3.2999999523,3.5999999046,3.2999999523,3.5,3.2999999523,3.2000000477,3.4000000954,3.2999999523,3.7000000477,3.2999999523,3.4000000954,4.0999999046,41.3999998569
1646029540,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3.2999999523,3.7000000477,3.2999999523,3.4000000954,4.0999999046,41.5000002385
1646029541,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3.2999999523,3.7000000477,3.2999999523,3.4000000954,4.0999999046,41.5000002385
1646029542,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954,3.2999999523,3.7999999523,3.2999999523,3.2000000477,3.5,40.8000001908
1646029543,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,3.5,3.4000000954,3.7999999523,3.2999999523,3.2000000477,3.5,41.3000001908
