timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1645770438, ,3.2000000477,3.2999999523,3.2000000477,3.5999999046,3.4000000954,3.4000000954,0,0,3.2999999523,3.5,3.2999999523,3.2999999523,3.2000000477,3.2999999523
1645770439, ,3.2999999523,3.5,3.5,3.5,3.2999999523,3.9000000954,0,0,3.2999999523,3.5,3.2999999523,3.2999999523,3.5,3.4000000954
1645770440, ,3.2999999523,3.5,3.5,3.5,3.2999999523,3.9000000954,0,0,3.2999999523,3.5,3.2999999523,3.2999999523,3.5,3.4000000954
1645770441, ,3.2999999523,3.5,3.5,3.5,3.2999999523,3.9000000954,0,0,3.2999999523,3.5,3.5,3.5,3.2000000477,3.5999999046
1645770442, ,3.5,3.4000000954,3.5,3.5999999046,3.2999999523,3.9000000954,0,0,3.2999999523,3.5,3.5,3.5,3.2000000477,3.5999999046
1645770443, ,3.5,3.4000000954,3.5,3.5999999046,3.5,3.4000000954,0,0,3.5,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.7000000477
1645770444, ,3.5,3.4000000954,3.5,3.5999999046,3.5,3.4000000954,0,0,3.5,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.7000000477
1645770445, ,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,3.4000000954,0,0,3.5,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.7000000477
1645770446, ,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,4,0,0,3.5,3.5,3.4000000954,3.2999999523,3.2999999523,3.2999999523
1645770447, ,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,4,0,0,3.5,3.5,3.4000000954,3.2999999523,3.2999999523,3.2999999523
1645770448, ,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2000000477,0,0,3.5,3.5,3.4000000954,3.2999999523,3.2999999523,3.2999999523
1645770449, ,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2000000477,0,0,3.4000000954,3.5,3.5,3.2999999523,3.2999999523,3.5999999046
1645770450, ,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3.2000000477,0,0,3.4000000954,3.5,3.5,3.2999999523,3.2999999523,3.5999999046
