Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110
1646049668,3729,34.5,3.2999999523,3.5,3.4000000954,3.5,3.7000000477,3.5,3.5,3.2999999523,3.5,3.2999999523
1646049669,3730,34.5,3.2999999523,3.5,3.4000000954,3.5,3.7000000477,3.5,3.2999999523,3.2999999523,3.5999999046,3.4000000954
1646049670,3731,33.9999997615,3.4000000954,3.5999999046,3.2999999523,3.2999999523,3.0999999046,3.5,3.5,3.2999999523,3.5999999046,3.4000000954
1646049671,3732,33.9999997615,3.4000000954,3.5999999046,3.2999999523,3.2999999523,3.0999999046,3.5,3.5,3.2999999523,3.5999999046,3.4000000954
1646049672,3733,34.5999999046,3.2000000477,3.5999999046,3.7999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.5999999046,3.2999999523
1646049673,3734,34.5999999046,3.2000000477,3.5999999046,3.7999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.5999999046,3.2999999523
1646049674,3735,34.1000003816,3.2000000477,3.5999999046,3.7999999523,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2000000477
1646049675,3736,34.1000003816,3.2000000477,3.5999999046,3.7999999523,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2000000477
1646049676,3737,34.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.5,3.2999999523,3.5999999046,3.5
1646049677,3738,34.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.5,3.2999999523,3.5999999046,3.5
1646049678,3739,34.7999999523,3.7999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.5,3.2999999523,3.5999999046,3.5
1646049679,3740,34.6999998092,3.7999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,3.5,3.2999999523,3.5999999046,3.5
