Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102
1645846379,245,12.4000000953,6.8000001907,5.5999999046
1645846380,246,12.4000000953,6.8000001907,5.5999999046
1645846381,247,12.6999998092,7.0999999046,5.5999999046
1645846382,248,14.0999999046,7.0999999046,7
1645846383,249,12.8000001907,7.3000001907,5.5
1645846384,250,12.8000001907,7.3000001907,5.5
1645846385,251,12.8000001907,7.3000001907,5.5
1645846386,252,12.8000001907,7.3000001907,5.5
1645846387,253,12.7000002861,6.9000000954,5.8000001907
1645846388,254,12.7000002861,6.9000000954,5.8000001907
1645846389,255,12.7000002861,6.9000000954,5.8000001907
1645846390,256,12.9000000954,7.4000000954,5.5
1645846391,257,12.9000000954,7.4000000954,5.5
1645846392,258,12.9000000954,7.4000000954,5.5
1645846393,259,12.9000000953,7.3000001907,5.5999999046
1645846394,260,12.9000000953,7.3000001907,5.5999999046
1645846395,261,12.9000000953,7.3000001907,5.5999999046
1645846396,262,12.3000001908,6.9000000954,5.4000000954
1645846397,263,12.3000001908,6.9000000954,5.4000000954
1645846398,264,12.2000002861,7.3000001907,4.9000000954
1645846399,265,12.2000002861,7.3000001907,4.9000000954
1645846400,266,12.2000002861,7.3000001907,4.9000000954
1645846401,267,11.5,6.5999999046,4.9000000954
1645846402,268,12.1999998092,6.5999999046,5.5999999046
1645846403,269,12.1999998092,6.5999999046,5.5999999046
1645846404,270,13.0999999046,7.5999999046,5.5
1645846405,271,13.0999999046,7.5999999046,5.5
1645846406,272,13,7.6999998093,5.3000001907
1645846407,273,13,7.6999998093,5.3000001907
1645846408,274,13,7.6999998093,5.3000001907
1645846409,275,13,7.6999998093,5.3000001907
1645846410,276,12.7999997139,7.0999999046,5.6999998093
1645846411,277,12.7999997139,7.0999999046,5.6999998093
1645846412,278,12.7999997139,7.0999999046,5.6999998093
1645846413,279,12.4000000953,6.8000001907,5.5999999046
1645846414,280,12.4000000953,6.8000001907,5.5999999046
1645846415,281,12.4000000953,6.8000001907,5.5999999046
1645846416,282,13.4000000954,7.4000000954,6
1645846417,283,13.4000000954,7.4000000954,6
1645846418,284,13.4000000954,7.4000000954,6
1645846419,285,11.9000000954,6.4000000954,5.5
1645846420,286,11.8000001907,6.3000001907,5.5
1645846421,287,11.8000001907,6.3000001907,5.5
1645846422,288,12.1000003814,6.3000001907,5.8000001907
1645846423,289,12.1000003814,6.3000001907,5.8000001907
1645846424,290,12.2999997139,6.6999998093,5.5999999046
1645846425,291,12.2999997139,6.6999998093,5.5999999046
1645846426,292,12.2999997139,6.6999998093,5.5999999046
1645846427,293,12.7000002861,7.3000001907,5.4000000954
1645846428,294,12.7000002861,7.3000001907,5.4000000954
1645846429,295,12.7000002861,7.3000001907,5.4000000954
1645846430,296,13.4000000953,7.5999999046,5.8000001907
1645846431,297,13.4000000953,7.5999999046,5.8000001907
1645846432,298,13.4000000953,7.5999999046,5.8000001907
1645846433,299,12.1999998092,6.5999999046,5.5999999046
1645846434,300,12.1999998092,6.5999999046,5.5999999046
1645846435,301,12.1999998092,6.5999999046,5.5999999046
1645846436,302,12.9000000953,7.3000001907,5.5999999046
1645846437,303,12.9000000953,7.3000001907,5.5999999046
1645846438,304,12.9000000953,7.3000001907,5.5999999046
1645846439,305,12.0999999046,6.5999999046,5.5
1645846440,306,12.5999999046,7.0999999046,5.5
1645846441,307,12.5999999046,7.0999999046,5.5
1645846442,308,12.6999998092,7.0999999046,5.5999999046
1645846443,309,12.6999998092,7.0999999046,5.5999999046
1645846444,310,12.6999998092,7.0999999046,5.5999999046
1645846445,311,12.6999998092,7.0999999046,5.5999999046
1645846446,312,12.6999998092,7.0999999046,5.5999999046
1645846447,313,12.4000000953,6.8000001907,5.5999999046
1645846448,314,12.4000000953,6.8000001907,5.5999999046
1645846449,315,12.4000000953,6.8000001907,5.5999999046
1645846450,316,12.2999997139,6.6999998093,5.5999999046
1645846451,317,12.2999997139,6.6999998093,5.5999999046
1645846452,318,12.2999997139,6.6999998093,5.5999999046
1645846453,319,12.2999997139,6.6999998093,5.5999999046
1645846454,320,12.2999997139,6.6999998093,5.5999999046
1645846455,321,12.1000003814,6.8000001907,5.3000001907
1645846456,322,12.1000003814,6.8000001907,5.3000001907
1645846457,323,12.1000003814,6.8000001907,5.3000001907
1645846458,324,12.1000003814,6.8000001907,5.3000001907
1645846459,325,12.7000002861,7.3000001907,5.4000000954
1645846460,326,12.7000002861,7.3000001907,5.4000000954
1645846461,327,12.7000002861,7.3000001907,5.4000000954
1645846462,328,14.4000000953,7.3000001907,7.0999999046
1645846463,329,11.9000000953,6.3000001907,5.5999999046
1645846464,330,11.9000000953,6.3000001907,5.5999999046
1645846465,331,11.9000000953,6.3000001907,5.5999999046
1645846466,332,11.9000000953,6.3000001907,5.5999999046
1645846467,333,12.0999999046,6.5,5.5999999046
1645846468,334,12.0999999046,6.5,5.5999999046
1645846469,335,12.0999999046,6.5,5.5999999046
1645846470,336,12.0999999047,6.6999998093,5.4000000954
1645846471,337,12.0999999047,6.6999998093,5.4000000954
1645846472,338,12.0999999047,6.6999998093,5.4000000954
1645846473,339,12.4000000954,6.9000000954,5.5
1645846474,340,12.4000000954,6.9000000954,5.5
1645846475,341,12.4000000954,6.9000000954,5.5
1645846476,342,12.9000000953,7.3000001907,5.5999999046
1645846477,343,12.9000000953,7.3000001907,5.5999999046
1645846478,344,12.9000000953,7.3000001907,5.5999999046
1645846479,345,12.1999998092,6.5999999046,5.5999999046
1645846480,346,12.1999998092,6.5999999046,5.5999999046
1645846481,347,12.1999998092,6.5999999046,5.5999999046
1645846482,348,12.0999999047,6.6999998093,5.4000000954
1645846483,349,14.5,7.5999999046,6.9000000954
1645846484,350,14.5,7.5999999046,6.9000000954
1645846485,351,14.5,7.5999999046,6.9000000954
1645846486,352,12.3000001907,6.8000001907,5.5
1645846487,353,12.3000001907,6.8000001907,5.5
1645846488,354,12.3000001907,6.8000001907,5.5
1645846489,355,12.5,7.1999998093,5.3000001907
1645846490,356,12.5,7.1999998093,5.3000001907
1645846491,357,12.5,7.1999998093,5.3000001907
1645846492,358,12.8000001908,7.4000000954,5.4000000954
1645846493,359,12.8000001908,7.4000000954,5.4000000954
1645846494,360,12.8000001908,7.4000000954,5.4000000954
1645846495,361,12.8000001908,7.4000000954,5.4000000954
1645846496,362,12.5999999047,6.9000000954,5.6999998093
1645846497,363,12.5999999047,6.9000000954,5.6999998093
1645846498,364,12.5999999047,6.9000000954,5.6999998093
1645846499,365,13.5,6.5,7
1645846500,366,13.5,6.5,7
1645846501,367,13.5,6.5,7
1645846502,368,12.5,7.0999999046,5.4000000954
1645846503,369,12.5,7.0999999046,5.4000000954
1645846504,370,12.9000000954,7.5,5.4000000954
1645846505,371,14.5,7.5,7
1645846506,372,14.5,7.5,7
1645846507,373,12.0999999047,6.4000000954,5.6999998093
1645846508,374,12.0999999047,6.4000000954,5.6999998093
1645846509,375,12.0999999047,6.4000000954,5.6999998093
1645846510,376,12.5,6.9000000954,5.5999999046
1645846511,377,12.5,6.9000000954,5.5999999046
1645846512,378,12.5,6.9000000954,5.5999999046
1645846513,379,13.5,6.9000000954,6.5999999046
1645846514,380,13.5,6.9000000954,6.5999999046
1645846515,381,13.5,6.9000000954,6.5999999046
1645846516,382,12.7999997139,7.1999998093,5.5999999046
1645846517,383,12.7999997139,7.1999998093,5.5999999046
1645846518,384,12.5,7.0999999046,5.4000000954
1645846519,385,12.5,7.0999999046,5.4000000954
1645846520,386,12.5,7.0999999046,5.4000000954
1645846521,387,12.5,7.0999999046,5.4000000954
1645846522,388,12.4000000953,7.0999999046,5.3000001907
1645846523,389,12.4000000953,7.0999999046,5.3000001907
1645846524,390,13,7.6999998093,5.3000001907
1645846525,391,13.3999996186,7.6999998093,5.6999998093
1645846526,392,14.2000002861,7.4000000954,6.8000001907
1645846527,393,14.2000002861,7.4000000954,6.8000001907
1645846528,394,14.2000002861,7.4000000954,6.8000001907
1645846529,395,14.2000002861,7.4000000954,6.8000001907
1645846530,396,11.2999997139,5.6999998093,5.5999999046
1645846531,397,11.2999997139,5.6999998093,5.5999999046
